"SAMPLE","TREAT","SEDTYP","NiTREAT","pHTREAT","DAY","HOURS","pH","Ni","Fe","TOTAl","TOTFe","TOTMn","TOTNi","ASCNi","ASCAl","ASCFe","ASCMn","DITNi","DITAl","DITFe","DITMn","CrysFe","CrysNi","PAmFe","PAmNi","PCrysFe","PCrysNi","POxidMn","LOI","Km","Dry.mass","Niadd","Nisorb"
"Tinkers-Ni10-pH5-d28-Buffer","BUF","TK","2","5",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,226.8,NA
"Tinkers-Ni25-pH5-d28-Buffer","BUF","TK","5","5",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,549.6,NA
"Tinkers-Ni2-pH7-d28-Buffer","BUF","TK","0.5","7",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,51.96,NA
"Tinkers-Ni10-pH7-d28-Buffer","BUF","TK","2","7",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,226.8,NA
"Tinkers-Ni25-pH7-d28-Buffer","BUF","TK","5","7",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,549.6,NA
"Tinkers-Ni2-pH9-d28-Buffer","BUF","TK","0.5","9",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,51.96,NA
"Tinkers-Ni10-pH9-d28-Buffer","BUF","TK","2","9",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,226.8,NA
"Tinkers-Ni25-pH9-d28-Buffer","BUF","TK","5","9",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,549.6,NA
"Plum-Ni0.5-pH5-d0-Buffer","BUF","PM","0.5","5",0,2.9,5.1,448.03,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,51.96,0
"Plum-Ni2-pH5-d0-Buffer","BUF","PM","2","5",0,2.9,5.05,1791.44,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,226.8,0.2
"Plum-Ni5-pH5-d0-Buffer","BUF","PM","5","5",0,2.9,5.04,4639.05,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,549.6,-0.1
"Plum-Ni0.5-pH7-d0-Buffer","BUF","PM","0.5","7",0,2.9,7.04,412.4,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,51.96,0
"Plum-Ni2-pH7-d0-Buffer","BUF","PM","2","7",0,2.9,7.05,1740.01,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,226.8,0.3
"Plum-Ni5-pH7-d0-Buffer","BUF","PM","5","7",0,2.9,7.04,4303.98,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,549.6,0.5
"Plum-Ni0.5-pH9-d0-Buffer","BUF","PM","0.5","9",0,2.9,9.11,470.47,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,51.96,-0.1
"Plum-Ni2-pH9-d0-Buffer","BUF","PM","2","9",0,2.9,9.11,1808.37,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,226.8,0.2
"Plum-Ni5-pH9-d0-Buffer","BUF","PM","5","9",0,2.9,9.1,4470.62,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,549.6,0.2
"Plum-Ni0.5-pH5-d1-Buffer","BUF","PM","0.5","5",1,25.8,5.06,442.26,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,51.96,0
"Plum-Ni2-pH5-d1-Buffer","BUF","PM","2","5",1,25.8,5.11,1688.2,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,226.8,0.4
"Plum-Ni5-pH5-d1-Buffer","BUF","PM","5","5",1,25.8,5.05,4335.15,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,549.6,0.5
"Plum-Ni0.5-pH7-d1-Buffer","BUF","PM","0.5","7",1,25.8,7.05,400.71,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,51.96,0.1
"Plum-Ni2-pH7-d1-Buffer","BUF","PM","2","7",1,25.8,7.03,1702.76,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,226.8,0.4
"Plum-Ni5-pH7-d1-Buffer","BUF","PM","5","7",1,25.8,7.03,4231.42,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,549.6,0.7
"Plum-Ni0.5-pH9-d1-Buffer","BUF","PM","0.5","9",1,25.8,9.12,463.29,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,51.96,-0.1
"Plum-Ni2-pH9-d1-Buffer","BUF","PM","2","9",1,25.8,9.13,1768.35,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,226.8,0.2
"Plum-Ni5-pH9-d1-Buffer","BUF","PM","5","9",1,25.8,9.12,4151.63,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,549.6,0.8
"Plum-Ni0.5-pH5-d4-Buffer","BUF","PM","0.5","5",4,102.9,5.05,425.79,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,51.96,0
"Plum-Ni2-pH5-d4-Buffer","BUF","PM","2","5",4,102.9,5.05,1656.03,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,226.8,0.5
"Plum-Ni5-pH5-d4-Buffer","BUF","PM","5","5",4,102.9,5.06,4000.86,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,549.6,1.1
"Plum-Ni0.5-pH7-d4-Buffer","BUF","PM","0.5","7",4,102.9,7.02,392.24,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,51.96,0.1
"Plum-Ni2-pH7-d4-Buffer","BUF","PM","2","7",4,102.9,7.02,1682.48,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,226.8,0.4
"Plum-Ni5-pH7-d4-Buffer","BUF","PM","5","7",4,102.9,7.03,4166.88,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,549.6,0.8
"Plum-Ni0.5-pH9-d4-Buffer","BUF","PM","0.5","9",4,102.9,9.09,460.69,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,51.96,-0.1
"Plum-Ni2-pH9-d4-Buffer","BUF","PM","2","9",4,102.9,9.09,1617.69,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,226.8,0.5
"Plum-Ni5-pH9-d4-Buffer","BUF","PM","5","9",4,102.9,9.08,3448.83,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,549.6,2.2
"Plum-Ni0.5-pH5-d7-Buffer","BUF","PM","0.5","5",7,170.6,5.06,NA,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,51.96,0.5
"Plum-Ni2-pH5-d7-Buffer","BUF","PM","2","5",7,170.6,5.04,1769.44,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,226.8,0.2
"Plum-Ni5-pH5-d7-Buffer","BUF","PM","5","5",7,170.6,5.04,1964.11,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,549.6,5.1
"Plum-Ni0.5-pH7-d7-Buffer","BUF","PM","0.5","7",7,170.6,7.03,390.48,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,51.96,0.1
"Plum-Ni2-pH7-d7-Buffer","BUF","PM","2","7",7,170.6,7.02,1671.43,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,226.8,0.4
"Plum-Ni5-pH7-d7-Buffer","BUF","PM","5","7",7,170.6,7.02,4145,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,549.6,0.8
"Plum-Ni0.5-pH9-d7-Buffer","BUF","PM","0.5","9",7,170.6,9.07,454.83,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,51.96,0
"Plum-Ni2-pH9-d7-Buffer","BUF","PM","2","9",7,170.6,9.06,1536.63,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,226.8,0.7
"Plum-Ni5-pH9-d7-Buffer","BUF","PM","5","9",7,170.6,9.08,3098.46,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,549.6,2.9
"Plum-Ni0.5-pH5-d14-Buffer","BUF","PM","0.5","5",14,337.1,5.04,453.99,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,51.96,0
"Plum-Ni2-pH5-d14-Buffer","BUF","PM","2","5",14,337.1,5.03,1802.24,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,226.8,0.2
"Plum-Ni5-pH5-d14-Buffer","BUF","PM","5","5",14,337.1,5.03,4630.34,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,549.6,-0.1
"Plum-Ni0.5-pH7-d14-Buffer","BUF","PM","0.5","7",14,337.1,7.02,386.32,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,51.96,0.1
"Plum-Ni2-pH7-d14-Buffer","BUF","PM","2","7",14,337.1,7.03,1650.56,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,226.8,0.5
"Plum-Ni5-pH7-d14-Buffer","BUF","PM","5","7",14,337.1,7.04,4106.28,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,549.6,0.9
"Plum-Ni0.5-pH9-d14-Buffer","BUF","PM","0.5","9",14,337.1,9.05,451.66,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,51.96,0
"Plum-Ni2-pH9-d14-Buffer","BUF","PM","2","9",14,337.1,9.07,1335.29,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,226.8,1.1
"Plum-Ni5-pH9-d14-Buffer","BUF","PM","5","9",14,337.1,9.09,2486.68,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,549.6,4.1
"Plum-Ni0.5-pH5-d28-Buffer","BUF","PM","0.5","5",28,674,5.03,NA,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,51.96,0.5
"Plum-Ni2-pH5-d28-Buffer","BUF","PM","2","5",28,674,5.05,929.25,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,226.8,1.9
"Plum-Ni5-pH5-d28-Buffer","BUF","PM","5","5",28,674,5.04,3226.9,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,549.6,2.6
"Plum-Ni0.5-pH7-d28-Buffer","BUF","PM","0.5","7",28,674,7.06,381.11,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,51.96,0.1
"Plum-Ni2-pH7-d28-Buffer","BUF","PM","2","7",28,674,7.05,1627.89,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,226.8,0.5
"Plum-Ni5-pH7-d28-Buffer","BUF","PM","5","7",28,674,7.07,4059.73,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,549.6,1
"Plum-Ni0.5-pH9-d28-Buffer","BUF","PM","0.5","9",28,674,9.05,443.03,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,51.96,0
"Plum-Ni2-pH9-d28-Buffer","BUF","PM","2","9",28,674,9.04,812.18,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,226.8,2.1
"Plum-Ni5-pH9-d28-Buffer","BUF","PM","5","9",28,674,9.03,1173.89,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,549.6,6.6
"Robinson-Ni0.5-pH5-d0-Buffer","BUF","RR","0.5","5",0,2.3,5.05,436.54,-0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,51.96,0
"Robinson-Ni2-pH5-d0-Buffer","BUF","RR","2","5",0,2.3,5.03,1872.94,-0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,226.8,0
"Robinson-Ni5-pH5-d0-Buffer","BUF","RR","5","5",0,2.3,5.02,4480.52,-0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,549.6,0.2
"Robinson-Ni0.5-pH7-d0-Buffer","BUF","RR","0.5","7",0,2.3,6.99,434.13,-0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,51.96,0
"Robinson-Ni2-pH7-d0-Buffer","BUF","RR","2","7",0,2.3,7.03,1513.38,-0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,226.8,0.6
"Robinson-Ni5-pH7-d0-Buffer","BUF","RR","5","7",0,2.3,7.01,3955.41,-0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,549.6,1.1
"Robinson-Ni0.5-pH9-d0-Buffer","BUF","RR","0.5","9",0,2.3,9.05,455.1,-0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,51.96,0
"Robinson-Ni2-pH9-d0-Buffer","BUF","RR","2","9",0,2.3,9.06,1773.96,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,226.8,0.2
"Robinson-Ni5-pH9-d0-Buffer","BUF","RR","5","9",0,2.3,9.05,4428.58,-0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,549.6,0.3
"Robinson-Ni0.5-pH5-d1-Buffer","BUF","RR","0.5","5",1,25.3,5.01,558.57,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,51.96,-0.2
"Robinson-Ni2-pH5-d1-Buffer","BUF","RR","2","5",1,25.3,5.01,1217.16,-0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,226.8,1.2
"Robinson-Ni5-pH5-d1-Buffer","BUF","RR","5","5",1,25.3,5.01,5069.36,-0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,549.6,-0.8
"Robinson-Ni0.5-pH7-d1-Buffer","BUF","RR","0.5","7",1,25.3,6.99,432.5,-0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,51.96,0
"Robinson-Ni2-pH7-d1-Buffer","BUF","RR","2","7",1,25.3,7,1518.82,-0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,226.8,0.6
"Robinson-Ni5-pH7-d1-Buffer","BUF","RR","5","7",1,25.3,6.99,3832.77,-0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,549.6,1.3
"Robinson-Ni0.5-pH9-d1-Buffer","BUF","RR","0.5","9",1,25.3,9.04,443.49,-0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,51.96,0
"Robinson-Ni2-pH9-d1-Buffer","BUF","RR","2","9",1,25.3,9.06,1644.08,-0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,226.8,0.4
"Robinson-Ni5-pH9-d1-Buffer","BUF","RR","5","9",1,25.3,9.05,4086.06,-0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,549.6,0.8
"Robinson-Ni0.5-pH5-d4-Buffer","BUF","RR","0.5","5",4,97.8,5.03,452.58,-0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,51.96,0
"Robinson-Ni2-pH5-d4-Buffer","BUF","RR","2","5",4,97.8,5.02,1825.77,-0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,226.8,0.1
"Robinson-Ni5-pH5-d4-Buffer","BUF","RR","5","5",4,97.8,5.03,5434.36,-0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,549.6,-1.5
"Robinson-Ni0.5-pH7-d4-Buffer","BUF","RR","0.5","7",4,97.8,7.01,415.92,-0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,51.96,0
"Robinson-Ni2-pH7-d4-Buffer","BUF","RR","2","7",4,97.8,7.01,1463.6,-0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,226.8,0.7
"Robinson-Ni5-pH7-d4-Buffer","BUF","RR","5","7",4,97.8,7.01,3670.46,-0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,549.6,1.6
"Robinson-Ni0.5-pH9-d4-Buffer","BUF","RR","0.5","9",4,97.8,9.02,397.64,-0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,51.96,0.1
"Robinson-Ni2-pH9-d4-Buffer","BUF","RR","2","9",4,97.8,9.03,1439.75,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,226.8,0.8
"Robinson-Ni5-pH9-d4-Buffer","BUF","RR","5","9",4,97.8,9.03,3548.93,-0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,549.6,1.8
"Robinson-Ni0.5-pH5-d7-Buffer","BUF","RR","0.5","5",7,171.8,5.02,506.48,-0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,51.96,-0.1
"Robinson-Ni2-pH5-d7-Buffer","BUF","RR","2","5",7,171.8,5.02,1940.32,-0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,226.8,-0.1
"Robinson-Ni5-pH5-d7-Buffer","BUF","RR","5","5",7,171.8,5.02,4607.47,-0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,549.6,0
"Robinson-Ni0.5-pH7-d7-Buffer","BUF","RR","0.5","7",7,171.8,6.99,428.16,-0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,51.96,0
"Robinson-Ni2-pH7-d7-Buffer","BUF","RR","2","7",7,171.8,7,1488.03,-0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,226.8,0.7
"Robinson-Ni5-pH7-d7-Buffer","BUF","RR","5","7",7,171.8,6.99,3872.77,-0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,549.6,1.2
"Robinson-Ni0.5-pH9-d7-Buffer","BUF","RR","0.5","9",7,171.8,9,303.58,-0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,51.96,0.2
"Robinson-Ni2-pH9-d7-Buffer","BUF","RR","2","9",7,171.8,9.03,1256.35,-0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,226.8,1.1
"Robinson-Ni5-pH9-d7-Buffer","BUF","RR","5","9",7,171.8,9.04,3065.53,-0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,549.6,2.6
"Robinson-Ni0.5-pH5-d14-Buffer","BUF","RR","0.5","5",14,339.8,5.01,438.04,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,51.96,0
"Robinson-Ni2-pH5-d14-Buffer","BUF","RR","2","5",14,339.8,5.01,1720.6,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,226.8,0.3
"Robinson-Ni5-pH5-d14-Buffer","BUF","RR","5","5",14,339.8,5.01,4328.83,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,549.6,0.4
"Robinson-Ni0.5-pH7-d14-Buffer","BUF","RR","0.5","7",14,339.8,6.99,422.85,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,51.96,0
"Robinson-Ni2-pH7-d14-Buffer","BUF","RR","2","7",14,339.8,7,1489.75,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,226.8,0.7
"Robinson-Ni5-pH7-d14-Buffer","BUF","RR","5","7",14,339.8,6.99,3762.32,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,549.6,1.4
"Robinson-Ni0.5-pH9-d14-Buffer","BUF","RR","0.5","9",14,339.8,9.01,175.51,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,51.96,0.4
"Robinson-Ni2-pH9-d14-Buffer","BUF","RR","2","9",14,339.8,9.03,813.16,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,226.8,1.8
"Robinson-Ni5-pH9-d14-Buffer","BUF","RR","5","9",14,339.8,9.02,1549.5,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,549.6,5.2
"Robinson-Ni0.5-pH5-d28-Buffer","BUF","RR","0.5","5",28,676,5.1,420.19,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,51.96,0
