"SAMPLE","TREAT","SEDTYP","NiTREAT","pHTREAT","DAY","HOURS","pH","Ni","Fe","TOTAl","TOTFe","TOTMn","TOTNi","ASCNi","ASCAl","ASCFe","ASCMn","DITNi","DITAl","DITFe","DITMn","CrysFe","CrysNi","PAmFe","PAmNi","PCrysFe","PCrysNi","POxidMn","LOI","Km","Dry.mass","Niadd","Nisorb"
"L. Sugar Creek-Ni2-pH7-d14","SED","LS","2","7",14,342,7.72,132.02,-0.07,1847.83,7866.23,607.33,8.26,2.06,74.82,356.42,142.58,4.37,78.79,1274.35,245.46,917.925,2.31,0.045,0.25,0.162,0.53,0.404,1.78,2569.5,69.8,226.8,3
"L. Sugar Creek-Ni5-pH7-d14","SED","LS","5","7",14,342,7.7,306.7,0.01,2055.01,8826.65,397.34,9,5.86,42.99,286.58,91.76,9.83,75.88,974.85,222.06,688.272,3.973,0.032,0.651,0.11,1.092,0.559,1.78,3913.2,69.8,549.6,7.3
"L. Sugar Creek-Ni0.5-pH9-d14","SED","LS","0.5","9",14,342,8.67,34.74,0.13,1930.79,9273.26,474.64,6.52,1.11,45.15,387.46,58.8,3.45,86.78,1033.38,380.9,645.92,2.343,0.042,0.171,0.111,0.53,0.803,1.78,4840.1,69.8,51.96,0.7
"L. Sugar Creek-Ni2-pH9-d14","SED","LS","2","9",14,342,8.7,44.6,0.14,2055.1,8186.63,345.39,4.52,1.37,39.27,269.17,49.99,3.46,72.51,1153.38,180.22,884.214,2.092,0.033,0.303,0.141,0.766,0.522,1.78,6698,69.8,226.8,3.2
"L. Sugar Creek-Ni5-pH9-d14","SED","LS","5","9",14,342,8.71,111.42,0.11,1678.87,6338.56,356.96,8.41,3.75,43.1,395.8,74.44,7.7,69.76,1070.36,216.85,674.565,3.948,0.062,0.446,0.169,0.915,0.607,1.78,4990.9,69.8,549.6,7.7
"L. Sugar Creek-Ni0.5-pH5-d28","SED","LS","0.5","5",28,678.8,6.66,68.17,0.02,1565.32,6593.9,289.55,2.95,0.97,38.84,320.55,37.59,3.38,82.18,1336.09,152.55,1015.536,2.417,0.049,0.328,0.203,1.146,0.527,1.78,2605.4,69.8,51.96,0.6
"L. Sugar Creek-Ni2-pH5-d28","SED","LS","2","5",28,678.8,6.97,224.34,0.01,1608.59,6966.02,264.95,5.08,2.54,44.4,285.41,75.83,5.95,79.31,969.05,277.22,683.638,3.409,0.041,0.5,0.139,1.172,1.046,1.78,2328.3,69.8,226.8,2.9
"L. Sugar Creek-Ni5-pH5-d28","SED","LS","5","5",28,678.8,6.82,434.98,0.13,1895.8,8289.28,298.87,12.87,4.46,42.04,345.42,140.53,10.57,101.54,1570.89,321.39,1225.473,6.111,0.042,0.346,0.19,0.821,1.075,1.78,1742.2,69.8,549.6,7.1
"L. Sugar Creek-Ni0.5-pH7-d28","SED","LS","0.5","7",28,678.8,7.74,34.84,-0.07,2313.4,9954.82,488.14,5.45,1.91,44.09,427.2,92.92,4.26,96.19,953.02,188.05,525.818,2.353,0.043,0.35,0.096,0.782,0.385,1.78,7532.1,69.8,51.96,0.7
"L. Sugar Creek-Ni2-pH7-d28","SED","LS","2","7",28,678.8,7.75,117.91,-0.07,2612.42,10144.61,416.98,7.24,2.02,40.26,298.79,72.81,4.6,94.76,1075.95,214.34,777.158,2.583,0.029,0.279,0.106,0.636,0.514,1.78,3365.3,69.8,226.8,3
"L. Sugar Creek-Ni5-pH7-d28","SED","LS","5","7",28,678.8,7.81,104.72,-0.07,2296.08,7143.13,390.85,12.24,9.03,36.75,273.65,60.7,11.76,60.33,711.11,158.04,437.461,2.728,0.038,0.738,0.1,0.961,0.404,1.78,18494.9,69.8,549.6,7.7
"L. Sugar Creek-Ni0.5-pH9-d28","SED","LS","0.5","9",28,678.8,8.64,22.98,0.02,1876.73,8207.91,401.25,3.79,1.2,42.94,380.47,71.82,3.87,184.03,1510.71,422.36,1130.242,2.67,0.046,0.317,0.184,1.022,1.053,1.78,8055.6,69.8,51.96,0.7
"L. Sugar Creek-Ni2-pH9-d28","SED","LS","2","9",28,678.8,8.68,40.35,0.02,1898.11,7844.78,400.08,6.69,1.56,38.62,376.6,74.57,4.13,72.77,981.88,166.26,605.286,2.574,0.048,0.233,0.125,0.617,0.416,1.78,6025.5,69.8,226.8,3.2
"L. Sugar Creek-Ni5-pH9-d28","SED","LS","5","9",28,678.8,8.69,72.35,0.02,2013.86,10424.48,459.74,6.52,1.59,40.84,341.25,80.03,4.55,83.74,1794.4,205.48,1453.158,2.968,0.033,0.243,0.172,0.698,0.447,1.78,3779.9,69.8,549.6,7.7
"Tinkers-Ni2-pH5-d0-Buffer","BUF","TK","0.5","5",0,1.3,NA,460.4,-0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,51.96,-0.1
"Tinkers-Ni10-pH5-d0-Buffer","BUF","TK","2","5",0,1.3,NA,2267.03,-0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,226.8,-0.8
"Tinkers-Ni25-pH5-d0-Buffer","BUF","TK","5","5",0,1.3,NA,5725.2,-0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,549.6,-2.5
"Tinkers-Ni2-pH7-d0-Buffer","BUF","TK","0.5","7",0,1.3,NA,372.83,-0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,51.96,0.1
"Tinkers-Ni10-pH7-d0-Buffer","BUF","TK","2","7",0,1.3,NA,2214.76,-0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,226.8,-0.7
"Tinkers-Ni25-pH7-d0-Buffer","BUF","TK","5","7",0,1.3,NA,4931.65,-0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,549.6,-0.8
"Tinkers-Ni2-pH9-d0-Buffer","BUF","TK","0.5","9",0,1.3,NA,407.06,-0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,51.96,0.1
"Tinkers-Ni10-pH9-d0-Buffer","BUF","TK","2","9",0,1.3,NA,2016.16,-0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,226.8,-0.3
"Tinkers-Ni25-pH9-d0-Buffer","BUF","TK","5","9",0,1.3,NA,4297.78,-0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,549.6,0.6
"Tinkers-Ni2-pH5-d1-Buffer","BUF","TK","0.5","5",1,25.5,4.98,460.01,-0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,51.96,-0.1
"Tinkers-Ni10-pH5-d1-Buffer","BUF","TK","2","5",1,25.5,4.99,2289.87,-0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,226.8,-0.9
"Tinkers-Ni25-pH5-d1-Buffer","BUF","TK","5","5",1,25.5,4.98,5746.86,-0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,549.6,-2.6
"Tinkers-Ni2-pH7-d1-Buffer","BUF","TK","0.5","7",1,25.5,7.02,324.11,-0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,51.96,0.2
"Tinkers-Ni10-pH7-d1-Buffer","BUF","TK","2","7",1,25.5,7.03,1730.44,-0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,226.8,0.4
"Tinkers-Ni25-pH7-d1-Buffer","BUF","TK","5","7",1,25.5,7.02,4365.15,-0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,549.6,0.5
"Tinkers-Ni2-pH9-d1-Buffer","BUF","TK","0.5","9",1,25.5,9.64,409.87,-0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,51.96,0.1
"Tinkers-Ni10-pH9-d1-Buffer","BUF","TK","2","9",1,25.5,9.61,1561.43,-0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,226.8,0.7
"Tinkers-Ni25-pH9-d1-Buffer","BUF","TK","5","9",1,25.5,9.63,3496.11,-0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,549.6,2.4
"Tinkers-Ni2-pH5-d4-Buffer","BUF","TK","0.5","5",4,96.9,4.99,476.31,-0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,51.96,-0.1
"Tinkers-Ni10-pH5-d4-Buffer","BUF","TK","2","5",4,96.9,4.98,2305.63,-0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,226.8,-0.9
"Tinkers-Ni25-pH5-d4-Buffer","BUF","TK","5","5",4,96.9,4.98,5976.77,-0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,549.6,-3.1
"Tinkers-Ni2-pH7-d4-Buffer","BUF","TK","0.5","7",4,96.9,7.07,296.46,-0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,51.96,0.3
"Tinkers-Ni10-pH7-d4-Buffer","BUF","TK","2","7",4,96.9,7.05,1933.94,-0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,226.8,-0.1
"Tinkers-Ni25-pH7-d4-Buffer","BUF","TK","5","7",4,96.9,7.05,4966.23,-0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,549.6,-0.8
"Tinkers-Ni2-pH9-d4-Buffer","BUF","TK","0.5","9",4,96.9,9.67,505.57,-0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,51.96,-0.2
"Tinkers-Ni10-pH9-d4-Buffer","BUF","TK","2","9",4,96.9,9.65,865.85,-0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,226.8,2.3
"Tinkers-Ni25-pH9-d4-Buffer","BUF","TK","5","9",4,96.9,9.66,1759.6,-0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,549.6,6.2
"Tinkers-Ni2-pH5-d7-Buffer","BUF","TK","0.5","5",7,169.4,5.01,489.84,-0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,51.96,-0.1
"Tinkers-Ni10-pH5-d7-Buffer","BUF","TK","2","5",7,169.4,5.04,2985.15,-0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,226.8,-2.4
"Tinkers-Ni25-pH5-d7-Buffer","BUF","TK","5","5",7,169.4,4.98,6240.85,-0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,549.6,-3.7
"Tinkers-Ni2-pH7-d7-Buffer","BUF","TK","0.5","7",7,169.4,7.01,282.1,-0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,51.96,0.3
